trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.3, 'e': 0.06890682839466256}",20,0,15.553417035266575,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.3, 'e': 0.06720551273974976}",20,8,20.631606056757477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.3, 'e': 0.06554620271802433}",20,13,11.959483916365997,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.06392786120670757}",20,11,13.939726313564663,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.062349476689673396}",25,15,17.905102833170357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.060810062625217945}",25,19,10.351046629870961,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.05930865682943872}",25,7,32.066756462245436,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.05784432087483846}",30,21,13.359435149789375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.05641613950377734}",20,0,29.53689036548083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.3, 'e': 0.05502322005640721}",20,0,19.039754376926442,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.3, 'e': 0.053664691912730114}",25,16,15.24326273493255,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.05233970594843238}",20,4,29.206401281133456,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.05104743400415439}",30,15,26.452228569535933,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.049787068367863944}",20,14,11.414753303163295,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.04855782127000995}",30,15,30.875583672716548,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.047358924391140915}",25,15,16.282201629272457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.0461896283816801}",25,18,13.302253450047221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.0450492023935578}",30,18,-11.149234859566418,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.04393693362340741}",25,15,20.086001462030932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.042852126867040166}",30,19,17.78324609755001,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.041794104084919896}",25,12,23.810903940416104,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.04076220397836621}",25,13,27.48006391582844,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.0397557815762213}",20,13,14.376914844805828,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.03877420783172201}",20,8,19.903562344679283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.03781686922932507}",25,0,19.27685006616532,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
132,False,"{'a': 0.3, 'e': 0.036883167401239994}",20,11,18.41663662859074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.035972518753429654}",20,11,9.776497181872319,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.03508435410084502}",20,10,17.271025524308243,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.03421811831166603}",25,12,24.641384703067608,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.033373269960326066}",30,8,37.626005318738905,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.03254928098910342}",20,8,21.751779084064683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.03174563637806794}",30,12,30.584999056676104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.03096183382317688}",20,11,14.846529948945843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.030197383422318504}",35,18,31.329196396563624,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.02945180736910728}",25,1,19.01568951849451,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.028724639654239423}",25,11,29.045758362299807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.028015425774221808}",20,14,12.559715690641276,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.02732372244729256}",20,16,10.136752977710946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.026649097336355485}",20,12,13.292335049748353,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.025991128778755333}",25,0,37.240605708028816,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.3, 'e': 0.025349405522724935}",20,10,20.758516782880587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.024723526470339385}",20,7,22.320788636100467,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.02411310042681686}",20,8,21.522376100754897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.023517745856009107}",20,7,23.412032096139196,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.02293709064192892}",25,15,17.38737153968702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.02237077185616559}",25,8,29.384667531294554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.021818435531042762}",20,6,25.753766598887363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.02127973643837717}",20,0,31.0372786825612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.3, 'e': 0.020754337873699742}",30,19,19.10888096619961,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.020241911445804384}",25,12,24.82777404470729,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.019742136871492774}",30,0,41.330168039997496,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
