trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,3,28.28726176225843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.09778344405135005}",20,4,12.500506743631295,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.09536916221554961}",25,17,14.431649093130368,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.09301448921066349}",20,15,-1.6909203002301851,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.09071795328941248}",25,13,18.09205356664613,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.08847811904208727}",25,13,6.201191853382045,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.0862935864993705}",25,16,13.61376771023739,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.08416299025731036}",20,12,11.679503116984232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,5,34.032672540273474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.08005831278672051}",30,23,7.18501133107895,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.07808166600115313}",20,9,20.19127111603847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.07615382279861033}",25,13,22.86050494000347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.07427357821433388}",20,16,8.109801705445737,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.07243975703425147}",20,12,4.684592114892872,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.07065121306042955}",30,18,20.540197594813602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.06890682839466256}",20,6,28.960243267660758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.06720551273974976}",25,15,21.415294044108432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.06554620271802433}",20,12,15.42558977081759,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.06392786120670757}",20,8,19.294571549399034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.062349476689673396}",20,16,8.896966353251912,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.060810062625217945}",20,6,23.675870392820034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.05930865682943872}",35,11,26.598297102594653,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.05784432087483846}",20,10,7.436489712566764,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.05641613950377734}",25,18,12.086643500926145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.05502322005640721}",20,9,9.579495292266536,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.053664691912730114}",30,12,27.53132369658523,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.05233970594843238}",35,25,16.98865565450812,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.05104743400415439}",25,17,-4.389716209909041,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,6,23.170025053787143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,16.940880013982664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
